url,artist,name,chartMax,chartCount,danceability,energy,camelot,loudness,mode,speechiness,acousticness,instrumentalness,liveness,bpm,signature,duration,spotify,chartYear,popularity,release_date,image/height,image/url,image/width,songplay,n1
spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Zé Felipe,Malvada,58,7,0.894,0.859,5,-2.981,0,0.0471,0.159,0.0002,0.075,134.947,4,145854,TRUE,2022,71,1/28/2022,640,https://i.scdn.co/image/ab67616d0000b2731c9b6c99ea2cccf714dd61f1,640,https://p.scdn.co/mp3-preview/6ed3fa54144a0f3e34d3cce8fdb106c9cf9f0935?cid=774b29d4f13844c495f206cafdad9c86,Malvada
spotify:track:0bI7K9Becu2dtXK1Q3cZNB,"Tiësto, KAROL G",Don't Be Shy,38,32,0.77,0.787,11,-3.748,0,0.0583,0.198,0,0.262,119.986,4,140500,TRUE,2022,83,8/12/2021,640,https://i.scdn.co/image/ab67616d0000b273c9bdd95ff143d01664054fc9,640,https://p.scdn.co/mp3-preview/08578006245b4b94698c50e80102fb4614570976?cid=774b29d4f13844c495f206cafdad9c86,Don't Be Shy
spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,4,262,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,95.05,3,263400,TRUE,2022,86,3/3/2017,640,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,640,https://p.scdn.co/mp3-preview/229419b7fe43f4aa963e8ed8eecabc4b87c4958e?cid=774b29d4f13844c495f206cafdad9c86,Perfect
spotify:track:6hH6QJ9ZAO0Z6m7PfvLoXW,ROSALÍA,CHICKEN TERIYAKI,152,1,0.788,0.4,2,-6.454,1,0.115,0.454,0.0001,0.0686,97.936,4,122227,TRUE,2022,69,3/18/2022,640,https://i.scdn.co/image/ab67616d0000b2730c179967a265de0fc76382fe,640,https://p.scdn.co/mp3-preview/f9623f39d7412f2f1019b54aef5d0c3fda000af1?cid=774b29d4f13844c495f206cafdad9c86,CHICKEN TERIYAKI
spotify:track:1zi7xx7UVEFkmKfv06H8x0,"Drake, WizKid, Kyla",One Dance,12,120,0.792,0.625,1,-5.609,1,0.0536,0.0078,0.0018,0.329,103.967,4,173987,TRUE,2022,85,5/6/2016,640,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,640,https://p.scdn.co/mp3-preview/b96700a9da12df888cfb2ccd8b180183d740a5a8?cid=774b29d4f13844c495f206cafdad9c86,One Dance
spotify:track:2BEcap3xJtmiPaHKyfQi4e,"Rvssian, Rauw Alejandro, Chris Brown",Nostálgico,40,28,0.734,0.846,9,-3.425,0,0.0489,0.166,0.00000174,0.235,98.026,4,209884,TRUE,2022,79,9/8/2021,640,https://i.scdn.co/image/ab67616d0000b273006cb8a368b174bbef547df1,640,https://p.scdn.co/mp3-preview/d1d83b6f0e86ff6e5ad31415e223e54c8a67b288?cid=774b29d4f13844c495f206cafdad9c86,Nostálgico
spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),1,85,0.701,0.716,7,-3.671,0,0.0361,0.174,0,0.324,91.007,4,140533,TRUE,2022,82,3/26/2021,640,https://i.scdn.co/image/ab67616d0000b27384c53fa832dfa265192419c5,640,https://p.scdn.co/mp3-preview/9f4d2e78c5f0ebb373b28f702597b4f344a8310c?cid=774b29d4f13844c495f206cafdad9c86,Mood (feat. iann dior)
spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,98,87,0.352,0.911,1,-5.23,1,0.0747,0.0012,0,0.0995,148.033,4,222973,TRUE,2022,84,2004,640,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d,640,https://p.scdn.co/mp3-preview/ce677b3ea88f416c34436d63f69bcd659e963ca7?cid=774b29d4f13844c495f206cafdad9c86,Mr. Brightside
spotify:track:4bV5sf2B4hWBBd5HQ8S7KB,"4*TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O'Connell, Topher Ngo, Grayson Villanueva, Josh Levi",Nobody Like U,157,1,0.905,0.631,9,-10.06,0,0.177,0.129,0,0.101,105.026,4,160947,TRUE,2022,72,3/11/2022,640,https://i.scdn.co/image/ab67616d0000b273530fec7409b7c839f61971a3,640,https://p.scdn.co/mp3-preview/9c3dfc34e771fcb796bab8fcad11e47f8e1796e8?cid=774b29d4f13844c495f206cafdad9c86,Nobody Like U
spotify:track:5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),1,19,0.631,0.518,0,-8.771,1,0.0303,0.274,0,0.088,93.023,4,613027,TRUE,2022,83,11/12/2021,640,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,640,https://p.scdn.co/mp3-preview/bfe8fd2f71ccfbee50b74bd422a993e4cd069552?cid=774b29d4f13844c495f206cafdad9c86,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)
spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,1,134,0.695,0.762,0,-3.497,1,0.0395,0.192,0.0024,0.0863,120.042,4,215280,TRUE,2022,85,9/6/2019,640,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,640,https://p.scdn.co/mp3-preview/4a9eb04b254522f33e9c6396f8756675bf0f9422?cid=774b29d4f13844c495f206cafdad9c86,Circles
spotify:track:5kqNIqFjijuzvVLhuY9B8j,Bad Bunny,La Zona,60,7,0.762,0.801,1,-3.661,0,0.0409,0.2,0.0001,0.254,93.992,4,136893,TRUE,2022,78,2/29/2020,640,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,640,https://p.scdn.co/mp3-preview/0a5f12b0730a2ab2f2b1edb6cadcffa1215b9017?cid=774b29d4f13844c495f206cafdad9c86,La Zona
spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,108,75,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,128.945,4,241688,TRUE,2022,82,7/20/2014,640,https://i.scdn.co/image/ab67616d0000b2737a9bf5f82e32d33d4503fe7b,640,https://p.scdn.co/mp3-preview/88f4fc892ac1521eff9fc297a4d3e47c02b1d28e?cid=774b29d4f13844c495f206cafdad9c86,Take Me To Church
spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,12,87,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,102.078,3,198040,TRUE,2022,86,3/20/2020,640,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43,640,https://p.scdn.co/mp3-preview/7d24cdc58ddeec20618f39c080d68954af69b916?cid=774b29d4f13844c495f206cafdad9c86,Heather
