track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,uri,popularity,release_date,image/height,image,image/width,songplay,url,n1
Let It Go,Dame Dame,48,Let It Go,38,0.769,0.796,-7.37,1,8,0.0564,0.0279,1.97e-06,0.0871,0.681,122.039,4,130286,spotify:track:278kl6mLOed2VOSPRJ76lC,34,2021-07-09,640,https://i.scdn.co/image/ab67616d0000b273b82cc45767c715d6b2767a02,640,https://p.scdn.co/mp3-preview/4a73a4980f1edede3def29572d788d1bde75b8f7?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:278kl6mLOed2VOSPRJ76lC,Let It Go
death bed (coffee for your head),Powfu,71,death bed (coffee for your head),82,0.726,0.431,-8.765,0,8,0.135,0.731,0,0.696,0.348,144.026,4,173333,spotify:track:7eJMfftS33KTjuF7lTsMCx,82,2020-02-08,640,https://i.scdn.co/image/ab67616d0000b273bf01fd0986a195d485922167,640,https://p.scdn.co/mp3-preview/eb52a920dd6fafb07ae1f9e5e60f9279ee854b89?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head)
That Way,Lil Uzi Vert,85,That Way,62,0.719,0.611,-5.01,0,7,0.0403,0.0582,0,0.155,0.489,129.962,4,212354,spotify:track:5raTDhlbxFDnpn89bxArdH,61,2020-03-01,640,https://i.scdn.co/image/ab67616d0000b273d1b3297079c3a3978b4d5fa9,640,https://p.scdn.co/mp3-preview/066c349ed93c838908a63ee8f26231ed1c784bae?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:5raTDhlbxFDnpn89bxArdH,That Way
Baby I'm Yours,Breakbot,57,By Your Side,69,0.829,0.792,-3.755,0,2,0.0668,0.726,5.83e-06,0.122,0.758,118.05,4,215507,spotify:track:5jr6pG3khBcBXZRm8NogSe,60,2010-02-15,640,https://i.scdn.co/image/ab67616d0000b273d55f44fb47f63f0e7048a5a1,640,https://p.scdn.co/mp3-preview/de72af64bc6e110332cda21fabd22ef095f2f360?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:5jr6pG3khBcBXZRm8NogSe,Baby I'm Yours
BOP,DaBaby,82,KIRK,76,0.769,0.787,-3.909,1,11,0.367,0.189,0,0.129,0.836,126.77,4,159715,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,75,2019-09-27,640,https://i.scdn.co/image/ab67616d0000b273f2b94b2fda4f08836d6371ba,640,https://p.scdn.co/mp3-preview/5d4c23d53cca56693d0cfa9109057f0706321e4e?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,BOP
OUT WEST (feat. Young Thug),JACKBOYS,65,JACKBOYS,77,0.802,0.591,-4.895,1,8,0.225,0.0104,0,0.196,0.309,139.864,4,157712,spotify:track:6gi6y1xwmVszDWkUqab1qw,76,2019-12-27,640,https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f,640,https://p.scdn.co/mp3-preview/64167d9dbae2566289e251efb1fe94e6a9c454f8?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug)
Blinding Lights,The Weeknd,93,Blinding Lights,18,0.513,0.796,-4.075,1,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,4,201573,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,90,2020-03-20,640,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,640,https://p.scdn.co/mp3-preview/579494c4709a8cc91687e487566c315dee104f9e?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights
When the Sun Goes Down,Martin van Lectro,39,When the Sun Goes Down,37,0.544,0.748,-5.556,1,5,0.0865,0.0646,0,0.519,0.391,123.752,4,148999,spotify:track:6KbgSOYwLLvgyxyMDHA2w8,32,2021-09-25,640,https://i.scdn.co/image/ab67616d0000b27399149f539ed349600a998bed,640,https://p.scdn.co/mp3-preview/d113f4ec263d5c303b22997807fe7d4b78425232?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6KbgSOYwLLvgyxyMDHA2w8,When the Sun Goes Down on My Side of Town Noiz
Skechers,DripReport,54,Skechers,0,0.907,0.332,-9.828,1,1,0.0836,0.326,0.0168,0.109,0.277,99.998,4,106031,spotify:track:2alc8VZAzDgdAsL2QMk3hu,69,2020-01-12,640,https://i.scdn.co/image/ab67616d0000b273928176cad62d2e7625636c3f,640,https://p.scdn.co/mp3-preview/4323f15b3efd3c4be99ef0c9e4f04ee0992128e3?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:2alc8VZAzDgdAsL2QMk3hu,Skechers
ROXANNE,Arizona Zervas,66,ROXANNE,78,0.621,0.601,-5.616,0,6,0.148,0.0522,0,0.46,0.457,116.735,5,163636,spotify:track:696DnlkuDOXcMAnKlTgXXK,77,2019-10-10,640,https://i.scdn.co/image/ab67616d0000b273069a93617a916760ab88ffea,640,https://p.scdn.co/mp3-preview/fb038785189bb62741f4be5d5c761291fcac640a?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:696DnlkuDOXcMAnKlTgXXK,ROXANNE
